internal_id,official_code,official_code_normalized,province_code,province_name,region_name,region_type,display_name,geometry_source_name,geometry_source_id,alternative_names,autonomous_status,geometry_available,match_status,notes
gb-22746128B41252486574655,82.05,82.05,82,Maluku Utara,Halmahera Utara,Kabupaten,Kabupaten Halmahera Utara,Halmahera Utara,22746128B41252486574655,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B37889128386884,63.06,63.06,63,Kalimantan Selatan,Hulu Sungai Selatan,Kabupaten,Kabupaten Hulu Sungai Selatan,Hulu Sungai Selatan,22746128B37889128386884,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B20472072190374,63.07,63.07,63,Kalimantan Selatan,Hulu Sungai Tengah,Kabupaten,Kabupaten Hulu Sungai Tengah,Hulu Sungai Tengah,22746128B20472072190374,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B21492383155838,63.08,63.08,63,Kalimantan Selatan,Hulu Sungai Utara,Kabupaten,Kabupaten Hulu Sungai Utara,Hulu Sungai Utara,22746128B21492383155838,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B305851071948,12.15,12.15,12,Sumatera Utara,Humbang Hasundutan,Kabupaten,Kabupaten Humbang Hasundutan,Humbang Hasundutan,22746128B305851071948,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B69994664325988,33.99,33.99,33,Jawa Tengah,Hutan,Kabupaten,Kabupaten Hutan,Hutan,22746128B69994664325988,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B36468792556341,14.03,14.03,14,Riau,Indragiri Hilir,Kabupaten,Kabupaten Indragiri Hilir,Indragiri Hilir,22746128B36468792556341,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B72920479258091,14.02,14.02,14,Riau,Indragiri Hulu,Kabupaten,Kabupaten Indragiri Hulu,Indragiri Hulu,22746128B72920479258091,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B59462811669242,32.12,32.12,32,Jawa Barat,Indramayu,Kabupaten,Kabupaten Indramayu,Indramayu,22746128B59462811669242,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B83440404091664,94.35,94.35,94,Papua,Intan Jaya,Kabupaten,Kabupaten Intan Jaya,Intan Jaya,22746128B83440404091664,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B71103770185906,,,,,Jayapura,Unresolved,Jayapura,Jayapura,22746128B71103770185906,Jayapura | Papua | 94.03; Kota Jayapura | Papua | 94.71,unresolved,yes,ambiguous_name,Geometry source stores name without province/type; multiple HDX ADM2 rows match. Not auto-assigned.
gb-22746128B40741333574981,94.02,94.02,94,Papua,Jayawijaya,Kabupaten,Kabupaten Jayawijaya,Jayawijaya,22746128B40741333574981,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B56085237319005,35.09,35.09,35,Jawa Timur,Jember,Kabupaten,Kabupaten Jember,Jember,22746128B56085237319005,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
